Id,Name,School,Gender,Part Time Job,Absence Days,Extracurricular Activities,Weekly Self Study Hours,Career Aspiration,Math Score,History Score,Physics Score,Chemistry Score,Biology Score,English Score,Geography Score,,Id,Name,Email,School,Column1,Gender,Part Time Job,Absence Days,Extracurricular Activities,Weekly Self Study Hours,Career Aspiration,Math Score,History Score,Physics Score,Chemistry Score,Biology Score,English Score,Geography Score
16,Roger Wiley,Digital Fortress,M,FALSE,6,FALSE,0,Business Owner,94,50,78,64,79,74,84,,,,,,,,,,,,,,,,,,,
17,Vicki Thompson,Gsling Academy,F,FALSE,3,TRUE,30,Scientist,92,64,93,91,80,89,72,,,,,,,,,,,,,,,,,,,
18,Maxwell Davidson,Gsling Academy,M,FALSE,2,TRUE,28,Software Engineer,86,83,85,79,93,76,77,,,,,,,,,,,,,,,,,,,
19,Jonathan Werner,Digital Fortress,M,FALSE,1,FALSE,37,Doctor,92,87,92,99,97,87,86,,,,,,,,,,,,,,,,,,,
20,Angela Rios,Gsling Academy,F,FALSE,2,FALSE,27,Software Engineer,99,65,98,75,66,72,100,,,,,,,,,,,,,,,,,,,
21,Tim Nichols,Digital Fortress,M,TRUE,3,FALSE,15,Software Engineer,100,90,72,98,73,97,72,,,,,,,,,,,,,,,,,,,
22,Kyle Willis,Gsling Academy,M,FALSE,8,FALSE,4,Business Owner,57,55,78,94,83,88,88,,,,,,,,,,,,,,,,,,,
23,Shannon Simpson,Digital Fortress,F,FALSE,9,FALSE,2,Business Owner,89,72,68,72,71,54,90,,,,,,,,,,,,,,,,,,,
24,Sean Griffin,Digital Fortress,M,FALSE,9,FALSE,1,Business Owner,50,76,81,55,56,80,79,,,,,,,,,,,,,,,,,,,
25,Cassandra West,Gsling Academy,F,FALSE,4,FALSE,35,Software Engineer,87,91,90,88,95,88,93,,,,,,,,,,,,,,,,,,,
26,Patricia Chavez,Gsling Academy,F,FALSE,5,FALSE,22,Doctor,92,86,87,81,93,90,99,,,,,,,,,,,,,,,,,,,
27,Jason Williams,Gsling Academy,M,FALSE,3,FALSE,34,Banker,100,77,80,94,63,90,90,,,,,,,,,,,,,,,,,,,
28,Peter Gibbs,Gsling Academy,M,FALSE,0,FALSE,23,Writer,64,75,93,79,81,96,85,,,,,,,,,,,,,,,,,,,
29,Jeffrey Blanchard,Digital Fortress,M,FALSE,1,TRUE,17,Accountant,79,65,99,71,76,77,83,,,,,,,,,,,,,,,,,,,
30,Carol Hill,Gsling Academy,F,FALSE,3,FALSE,19,Accountant,82,100,61,97,30,74,73,,,,,,,,,,,,,,,,,,,
31,Angie Miller,Digital Fortress,F,FALSE,0,FALSE,14,Software Engineer,88,69,87,100,88,85,72,,,,,,,,,,,,,,,,,,,
32,Cynthia Knapp,Gsling Academy,F,FALSE,4,FALSE,30,Designer,70,68,92,74,82,85,72,,,,,,,,,,,,,,,,,,,
33,Timothy Bryant,Digital Fortress,M,FALSE,4,FALSE,30,Accountant,77,96,98,89,85,62,62,,,,,,,,,,,,,,,,,,,
34,Phyllis Diaz,Digital Fortress,F,FALSE,1,FALSE,24,Banker,99,84,84,78,78,77,68,,,,,,,,,,,,,,,,,,,
35,Lisa Burns,Gsling Academy,F,FALSE,3,TRUE,31,Unknown,90,93,91,80,86,69,62,,,,,,,,,,,,,,,,,,,
36,Kelly Farley,Digital Fortress,F,FALSE,1,FALSE,21,Unknown,65,70,78,98,80,66,65,,,,,,,,,,,,,,,,,,,
37,Ryan Lee,Digital Fortress,M,FALSE,2,TRUE,19,Construction Engineer,99,94,87,71,89,91,96,,,,,,,,,,,,,,,,,,,
38,Michael Gilmore,Gsling Academy,M,FALSE,1,FALSE,29,Construction Engineer,92,100,85,89,81,91,88,,,,,,,,,,,,,,,,,,,
39,Miguel Martinez,Digital Fortress,M,FALSE,4,FALSE,21,Banker,77,64,64,88,94,82,78,,,,,,,,,,,,,,,,,,,
40,Christopher Taylor,Digital Fortress,M,FALSE,4,FALSE,18,Accountant,92,60,66,87,60,83,95,,,,,,,,,,,,,,,,,,,
41,Emily Holloway,Digital Fortress,F,FALSE,4,FALSE,31,Software Engineer,85,97,64,90,79,81,81,,,,,,,,,,,,,,,,,,,
42,Jesus Rasmussen,Gsling Academy,M,TRUE,7,FALSE,4,Business Owner,65,55,66,50,88,56,86,,,,,,,,,,,,,,,,,,,
43,Lauren Farmer,Gsling Academy,F,TRUE,6,FALSE,3,Business Owner,93,94,92,77,87,98,63,,,,,,,,,,,,,,,,,,,
44,Pamela Cole,Gsling Academy,F,FALSE,4,FALSE,3,Game Developer,97,99,85,96,91,68,66,,,,,,,,,,,,,,,,,,,
45,David Gillespie,Gsling Academy,M,TRUE,4,FALSE,3,Business Owner,54,99,79,57,53,95,83,,,,,,,,,,,,,,,,,,,
46,Kenneth Davis,Digital Fortress,M,TRUE,5,TRUE,5,Business Owner,88,53,50,58,84,53,96,,,,,,,,,,,,,,,,,,,
47,Elizabeth Martin,Digital Fortress,F,FALSE,5,TRUE,27,Lawyer,71,85,93,68,100,91,87,,,,,,,,,,,,,,,,,,,
48,Billy Soto,Digital Fortress,M,FALSE,0,TRUE,28,Stock Investor,81,98,74,70,97,65,65,,,,,,,,,,,,,,,,,,,
49,Kimberly Kelly,Digital Fortress,F,FALSE,4,FALSE,32,Unknown,80,78,86,80,64,68,100,,,,,,,,,,,,,,,,,,,
50,Sonia Noble,Digital Fortress,F,FALSE,0,FALSE,14,Accountant,100,89,90,93,30,83,74,,,,,,,,,,,,,,,,,,,
51,Christopher Stewart,Digital Fortress,M,FALSE,6,TRUE,16,Stock Investor,76,72,96,65,89,87,94,,,,,,,,,,,,,,,,,,,
52,Sandra Thornton,Gsling Academy,F,FALSE,2,FALSE,24,Lawyer,99,81,73,70,85,86,61,,,,,,,,,,,,,,,,,,,
53,Luke Shannon,Digital Fortress,M,FALSE,9,FALSE,0,Business Owner,64,70,61,81,82,51,70,,,,,,,,,,,,,,,,,,,
54,Lindsay Pruitt,Digital Fortress,F,FALSE,3,FALSE,32,Banker,90,96,86,61,89,98,68,,,,,,,,,,,,,,,,,,,
55,Jamie Taylor,Gsling Academy,M,FALSE,2,FALSE,3,Game Developer,85,100,92,68,60,77,83,,,,,,,,,,,,,,,,,,,
56,Jennifer Murphy,Gsling Academy,F,FALSE,6,FALSE,31,Software Engineer,91,60,84,88,76,71,99,,,,,,,,,,,,,,,,,,,
57,Melissa Lee,Gsling Academy,F,FALSE,3,FALSE,21,Unknown,95,72,79,86,87,81,62,,,,,,,,,,,,,,,,,,,
58,David Vaughn,Gsling Academy,M,TRUE,2,FALSE,18,Banker,94,78,73,97,67,78,99,,,,,,,,,,,,,,,,,,,
59,Jacob Hanson,Gsling Academy,M,FALSE,7,FALSE,26,Software Engineer,94,89,64,96,91,95,77,,,,,,,,,,,,,,,,,,,
60,Casey May,Digital Fortress,M,FALSE,4,FALSE,23,Software Engineer,89,99,90,79,85,96,98,,,,,,,,,,,,,,,,,,,
61,Michelle Roman,Gsling Academy,F,FALSE,2,FALSE,1,Game Developer,91,81,88,71,78,83,76,,,,,,,,,,,,,,,,,,,
62,Brittany Koch,Digital Fortress,F,FALSE,5,FALSE,33,Lawyer,83,86,61,99,99,88,73,,,,,,,,,,,,,,,,,,,
63,Brian Lewis,Gsling Academy,M,FALSE,7,FALSE,2,Business Owner,98,65,53,64,52,96,62,,,,,,,,,,,,,,,,,,,
64,Veronica Cameron,Digital Fortress,F,FALSE,1,FALSE,34,Banker,83,97,65,88,67,95,69,,,,,,,,,,,,,,,,,,,
65,Eric Reyes,Digital Fortress,M,FALSE,2,FALSE,18,Construction Engineer,91,73,99,70,63,80,78,,,,,,,,,,,,,,,,,,,
66,Kristy Weber,Digital Fortress,F,TRUE,6,FALSE,2,Business Owner,90,54,77,74,76,96,88,,,,,,,,,,,,,,,,,,,
67,Anthony Smith,Digital Fortress,M,FALSE,3,FALSE,27,Software Engineer,92,86,66,69,100,71,80,,,,,,,,,,,,,,,,,,,
68,Steven Stephens,Digital Fortress,M,FALSE,2,FALSE,8,Real Estate Developer,64,64,73,76,72,97,91,,,,,,,,,,,,,,,,,,,
69,Henry Davis,Digital Fortress,M,FALSE,4,FALSE,14,Software Engineer,90,70,85,60,81,71,88,,,,,,,,,,,,,,,,,,,
70,Raymond Shea,Gsling Academy,M,FALSE,10,TRUE,22,Banker,99,81,96,69,91,87,83,,,,,,,,,,,,,,,,,,,
71,Jill Perez,Digital Fortress,F,FALSE,1,FALSE,15,Designer,89,66,93,81,86,88,70,,,,,,,,,,,,,,,,,,,
72,Kimberly Bonilla,Digital Fortress,F,TRUE,3,FALSE,22,Writer,62,87,93,83,93,97,73,,,,,,,,,,,,,,,,,,,
73,Louis Edwards,Gsling Academy,M,TRUE,10,FALSE,1,Business Owner,61,70,69,64,59,78,80,,,,,,,,,,,,,,,,,,,
74,Michael Hodge,Digital Fortress,M,TRUE,8,FALSE,3,Business Owner,51,54,66,87,99,58,68,,,,,,,,,,,,,,,,,,,
75,Anna Li,Digital Fortress,F,FALSE,2,FALSE,20,Software Engineer,85,100,64,68,73,81,87,,,,,,,,,,,,,,,,,,,
76,Andrea Case,Gsling Academy,F,FALSE,7,TRUE,27,Software Engineer,99,90,96,92,100,98,77,,,,,,,,,,,,,,,,,,,
77,Jennifer Garcia,Gsling Academy,F,FALSE,3,FALSE,24,Software Engineer,87,63,60,90,89,99,80,,,,,,,,,,,,,,,,,,,
78,Rhonda Davenport,Gsling Academy,F,FALSE,1,TRUE,5,Unknown,75,91,80,93,74,93,65,,,,,,,,,,,,,,,,,,,
79,Chelsea Craig,Gsling Academy,F,FALSE,7,FALSE,34,Unknown,88,94,80,63,68,77,64,,,,,,,,,,,,,,,,,,,
80,Shawn Chase,Digital Fortress,M,FALSE,3,FALSE,16,Software Engineer,87,79,89,68,93,75,92,,,,,,,,,,,,,,,,,,,
81,Elizabeth Calhoun,Gsling Academy,F,TRUE,3,FALSE,3,Business Owner,87,67,94,92,62,58,65,,,,,,,,,,,,,,,,,,,
82,Lisa Harris,Gsling Academy,F,FALSE,1,FALSE,15,Stock Investor,76,67,83,85,91,61,67,,,,,,,,,,,,,,,,,,,
83,Carol Snyder,Digital Fortress,F,FALSE,7,FALSE,11,Government Officer,60,80,61,63,95,92,75,,,,,,,,,,,,,,,,,,,
84,Charles Butler,Gsling Academy,M,FALSE,7,FALSE,32,Scientist,85,65,99,100,88,93,72,,,,,,,,,,,,,,,,,,,
85,James Dawson,Digital Fortress,M,FALSE,3,FALSE,28,Unknown,73,67,70,71,65,73,87,,,,,,,,,,,,,,,,,,,
86,Dennis Kim,Gsling Academy,M,FALSE,1,FALSE,24,Software Engineer,85,71,69,80,70,77,66,,,,,,,,,,,,,,,,,,,
87,Jennifer Berry,Digital Fortress,F,FALSE,2,FALSE,9,Government Officer,91,76,71,72,92,67,90,,,,,,,,,,,,,,,,,,,
88,Yvette Bridges,Digital Fortress,F,FALSE,3,TRUE,14,Software Engineer,99,95,83,89,81,63,70,,,,,,,,,,,,,,,,,,,
89,Robert Atkins,Gsling Academy,M,FALSE,3,FALSE,16,Stock Investor,93,96,68,87,69,89,100,,,,,,,,,,,,,,,,,,,
90,William Brown,Gsling Academy,M,FALSE,3,FALSE,29,Software Engineer,89,75,60,80,62,85,73,,,,,,,,,,,,,,,,,,,
91,Patrick Parker,Digital Fortress,M,FALSE,0,FALSE,14,Accountant,95,78,95,73,32,65,68,,,,,,,,,,,,,,,,,,,
92,James Santiago,Digital Fortress,M,FALSE,4,FALSE,10,Government Officer,68,82,95,63,62,98,93,,,,,,,,,,,,,,,,,,,
93,Robert Parsons,Gsling Academy,M,FALSE,5,FALSE,31,Software Engineer,98,73,73,77,87,98,83,,,,,,,,,,,,,,,,,,,
94,Jacob Brown,Gsling Academy,M,FALSE,4,FALSE,34,Stock Investor,79,92,79,76,84,67,86,,,,,,,,,,,,,,,,,,,
95,Natalie Robinson,Digital Fortress,F,FALSE,5,FALSE,3,Unknown,78,79,73,96,64,93,85,,,,,,,,,,,,,,,,,,,
96,Victoria Jones,Digital Fortress,F,FALSE,2,TRUE,34,Software Engineer,100,98,89,85,81,64,94,,,,,,,,,,,,,,,,,,,
97,Natasha Hansen,Digital Fortress,F,FALSE,3,TRUE,2,Artist,86,76,84,93,76,69,91,,,,,,,,,,,,,,,,,,,
98,Thomas White,Gsling Academy,M,FALSE,3,FALSE,4,Real Estate Developer,87,89,93,98,79,72,88,,,,,,,,,,,,,,,,,,,
99,Derrick Figueroa,Digital Fortress,M,TRUE,0,FALSE,28,Lawyer,100,93,85,61,96,83,86,,,,,,,,,,,,,,,,,,,
100,Kimberly Ward,Gsling Academy,F,FALSE,0,FALSE,5,Game Developer,85,89,94,69,99,93,98,,,,,,,,,,,,,,,,,,,
101,Rhonda Jones,Gsling Academy,F,FALSE,2,FALSE,4,Artist,87,73,98,91,79,60,77,,,,,,,,,,,,,,,,,,,
102,Abigail Perez,Digital Fortress,F,FALSE,2,FALSE,25,Software Engineer,96,80,100,61,81,98,65,,,,,,,,,,,,,,,,,,,
103,James Yang,Gsling Academy,M,FALSE,5,FALSE,29,Writer,76,87,64,74,73,90,99,,,,,,,,,,,,,,,,,,,
104,Stephen Patton,Digital Fortress,M,TRUE,6,FALSE,1,Artist,90,80,63,94,64,70,79,,,,,,,,,,,,,,,,,,,
105,Emma Wright,Digital Fortress,F,FALSE,7,FALSE,2,Business Owner,65,60,100,91,87,78,99,,,,,,,,,,,,,,,,,,,
106,Cynthia Brown,Digital Fortress,F,FALSE,2,FALSE,0,Real Estate Developer,98,97,62,89,62,95,77,,,,,,,,,,,,,,,,,,,
107,Erin Kelley,Gsling Academy,F,FALSE,3,FALSE,16,Accountant,91,80,97,89,94,95,84,,,,,,,,,,,,,,,,,,,
108,Benjamin Morse,Digital Fortress,M,FALSE,3,TRUE,31,Scientist,86,81,83,81,81,77,86,,,,,,,,,,,,,,,,,,,
109,Alexandra Gibson,Digital Fortress,F,FALSE,1,FALSE,4,Unknown,91,93,72,61,61,87,95,,,,,,,,,,,,,,,,,,,
110,Phillip Allen,Gsling Academy,M,FALSE,5,TRUE,13,Accountant,78,69,82,60,64,77,82,,,,,,,,,,,,,,,,,,,
111,Joshua Gonzalez,Gsling Academy,M,FALSE,4,FALSE,24,Stock Investor,76,89,89,83,89,90,64,,,,,,,,,,,,,,,,,,,
112,Erin Jones,Gsling Academy,F,TRUE,9,FALSE,2,Business Owner,82,54,85,57,50,54,76,,,,,,,,,,,,,,,,,,,
113,Charles Hayes,Digital Fortress,M,TRUE,2,TRUE,4,Business Owner,45,85,94,76,57,93,86,,,,,,,,,,,,,,,,,,,
114,Kelsey Brown,Digital Fortress,F,FALSE,1,FALSE,22,Banker,92,75,65,97,61,76,81,,,,,,,,,,,,,,,,,,,
115,Robert Turner,Gsling Academy,M,FALSE,6,TRUE,0,Business Owner,43,65,91,75,64,94,100,,,,,,,,,,,,,,,,,,,
116,Robert Hill,Digital Fortress,M,FALSE,2,FALSE,24,Unknown,96,66,69,65,72,84,77,,,,,,,,,,,,,,,,,,,
117,Alyssa Ritter,Digital Fortress,F,FALSE,6,FALSE,1,Business Owner,78,71,50,55,54,97,95,,,,,,,,,,,,,,,,,,,
118,Beth Bell,Gsling Academy,F,FALSE,1,FALSE,19,Unknown,68,96,64,70,74,63,75,,,,,,,,,,,,,,,,,,,
119,Andrew Dixon,Digital Fortress,M,FALSE,1,TRUE,19,Software Engineer,93,73,94,65,60,63,93,,,,,,,,,,,,,,,,,,,
120,Crystal Walker,Gsling Academy,F,FALSE,6,FALSE,5,Business Owner,55,93,67,74,55,60,64,,,,,,,,,,,,,,,,,,,
121,Jordan Bennett,Gsling Academy,F,TRUE,0,FALSE,13,Teacher,66,90,83,80,76,90,91,,,,,,,,,,,,,,,,,,,
122,Antonio Caldwell,Digital Fortress,M,FALSE,4,FALSE,26,Doctor,98,92,91,99,97,88,75,,,,,,,,,,,,,,,,,,,
123,Jacob Reyes,Gsling Academy,M,FALSE,4,FALSE,41,Doctor,94,94,94,89,85,86,85,,,,,,,,,,,,,,,,,,,
124,Wendy Lewis,Gsling Academy,F,FALSE,3,FALSE,47,Doctor,96,100,96,91,91,96,89,,,,,,,,,,,,,,,,,,,
125,Jennifer Miller,Digital Fortress,F,FALSE,2,FALSE,9,Unknown,69,62,82,89,81,72,71,,,,,,,,,,,,,,,,,,,
126,Lisa Ware,Digital Fortress,F,FALSE,4,FALSE,7,Unknown,77,95,98,69,60,89,71,,,,,,,,,,,,,,,,,,,
127,Brian Lee,Digital Fortress,M,FALSE,1,FALSE,3,Game Developer,89,67,86,87,87,68,78,,,,,,,,,,,,,,,,,,,
128,Mario Taylor,Digital Fortress,M,FALSE,4,TRUE,14,Accountant,96,67,80,83,86,77,75,,,,,,,,,,,,,,,,,,,
129,Amanda Williamson,Gsling Academy,F,FALSE,4,FALSE,26,Unknown,82,70,80,70,96,69,86,,,,,,,,,,,,,,,,,,,
130,Michael Miller,Gsling Academy,M,FALSE,6,TRUE,27,Unknown,99,97,64,90,87,68,69,,,,,,,,,,,,,,,,,,,
131,Amanda Vasquez,Digital Fortress,F,TRUE,5,FALSE,25,Stock Investor,96,73,90,85,63,84,87,,,,,,,,,,,,,,,,,,,
132,Chelsea Obrien,Digital Fortress,F,TRUE,4,FALSE,16,Banker,95,82,66,63,67,92,69,,,,,,,,,,,,,,,,,,,
133,Tina Perkins,Digital Fortress,F,FALSE,4,FALSE,27,Software Engineer,90,63,69,80,99,69,79,,,,,,,,,,,,,,,,,,,
134,Cory Perez,Digital Fortress,M,TRUE,6,FALSE,0,Business Owner,88,52,53,56,85,93,78,,,,,,,,,,,,,,,,,,,
135,Christopher Jenkins,Gsling Academy,M,FALSE,1,FALSE,3,Designer,87,62,87,96,85,90,74,,,,,,,,,,,,,,,,,,,
136,Joanne Campos,Gsling Academy,F,FALSE,2,FALSE,6,Designer,62,83,84,75,83,85,86,,,,,,,,,,,,,,,,,,,
137,David Patel,Digital Fortress,M,FALSE,2,FALSE,12,Banker,85,65,60,78,81,96,76,,,,,,,,,,,,,,,,,,,
138,Michelle Hill,Digital Fortress,F,FALSE,1,TRUE,11,Banker,79,97,76,67,61,90,95,,,,,,,,,,,,,,,,,,,
139,Jessica Boyd,Digital Fortress,F,FALSE,4,FALSE,23,Software Engineer,90,94,98,96,68,82,81,,,,,,,,,,,,,,,,,,,
140,Lawrence Russell,Digital Fortress,M,FALSE,2,FALSE,23,Doctor,97,71,82,80,97,93,78,,,,,,,,,,,,,,,,,,,
141,James Singh,Gsling Academy,M,FALSE,0,FALSE,16,Software Engineer,88,69,87,81,77,67,93,,,,,,,,,,,,,,,,,,,
142,Marc Villanueva,Gsling Academy,M,TRUE,2,TRUE,3,Artist,71,85,77,89,98,63,100,,,,,,,,,,,,,,,,,,,
143,Cathy Wilson,Digital Fortress,F,FALSE,1,FALSE,29,Lawyer,70,99,79,96,60,97,100,,,,,,,,,,,,,,,,,,,
144,Adam Mitchell,Gsling Academy,M,FALSE,3,TRUE,18,Software Engineer,93,68,76,99,80,80,75,,,,,,,,,,,,,,,,,,,
145,Sherry Phillips,Gsling Academy,F,FALSE,0,FALSE,3,Game Developer,92,79,81,61,86,72,88,,,,,,,,,,,,,,,,,,,
146,Victor Jones,Digital Fortress,M,FALSE,3,FALSE,6,Real Estate Developer,83,72,68,94,100,98,92,,,,,,,,,,,,,,,,,,,
147,Mark Young,Gsling Academy,M,FALSE,8,FALSE,2,Business Owner,68,97,51,93,68,58,78,,,,,,,,,,,,,,,,,,,
148,Matthew Jackson,Digital Fortress,M,FALSE,0,FALSE,34,Lawyer,92,90,65,79,96,87,74,,,,,,,,,,,,,,,,,,,
149,Tanya Nichols,Gsling Academy,F,FALSE,4,TRUE,22,Unknown,69,91,82,99,94,75,74,,,,,,,,,,,,,,,,,,,
150,Julie Gray,Gsling Academy,F,TRUE,5,FALSE,4,Business Owner,76,72,72,65,82,71,93,,,,,,,,,,,,,,,,,,,
151,Courtney Perry,Digital Fortress,F,FALSE,3,FALSE,3,Unknown,86,92,79,73,73,61,60,,,,,,,,,,,,,,,,,,,
152,Stephen Rodriguez,Digital Fortress,M,TRUE,10,FALSE,2,Business Owner,41,57,97,56,50,98,83,,,,,,,,,,,,,,,,,,,
153,Elizabeth Robinson,Digital Fortress,F,FALSE,5,FALSE,18,Unknown,91,100,84,72,84,90,82,,,,,,,,,,,,,,,,,,,
154,William Graves,Digital Fortress,M,FALSE,0,FALSE,8,Real Estate Developer,78,67,82,70,65,68,81,,,,,,,,,,,,,,,,,,,
155,Nancy Moore,Digital Fortress,F,FALSE,1,FALSE,33,Software Engineer,89,73,85,84,73,81,98,,,,,,,,,,,,,,,,,,,
156,Matthew Newman,Gsling Academy,M,FALSE,0,TRUE,13,Unknown,96,71,88,74,80,92,65,,,,,,,,,,,,,,,,,,,
157,Anita Moore,Digital Fortress,F,FALSE,0,TRUE,17,Unknown,66,99,85,90,76,64,95,,,,,,,,,,,,,,,,,,,
158,Brian Sanchez,Gsling Academy,M,TRUE,8,FALSE,1,Business Owner,97,54,62,66,58,69,96,,,,,,,,,,,,,,,,,,,
159,Dennis Phillips,Gsling Academy,M,TRUE,7,TRUE,3,Business Owner,49,64,97,61,62,72,65,,,,,,,,,,,,,,,,,,,
160,Michael Rivas,Gsling Academy,M,TRUE,4,TRUE,33,Unknown,88,66,96,82,65,76,79,,,,,,,,,,,,,,,,,,,
161,Ryan Smith,Digital Fortress,M,FALSE,1,FALSE,12,Unknown,92,64,77,61,76,72,87,,,,,,,,,,,,,,,,,,,
162,Anthony Sullivan,Digital Fortress,M,TRUE,3,FALSE,24,Construction Engineer,96,66,92,88,65,76,72,,,,,,,,,,,,,,,,,,,
163,Troy Shepherd,Gsling Academy,M,FALSE,4,FALSE,33,Construction Engineer,86,88,99,79,93,97,91,,,,,,,,,,,,,,,,,,,
164,Nicholas Clayton,Gsling Academy,M,FALSE,1,TRUE,44,Doctor,86,100,100,96,95,97,93,,,,,,,,,,,,,,,,,,,
165,Denise Schneider,Digital Fortress,F,FALSE,1,FALSE,15,Teacher,88,72,96,60,90,80,88,,,,,,,,,,,,,,,,,,,
166,Lisa Silva,Gsling Academy,F,FALSE,2,FALSE,5,Game Developer,92,81,99,98,77,80,73,,,,,,,,,,,,,,,,,,,
167,Laura Reilly,Digital Fortress,F,TRUE,7,FALSE,5,Business Owner,87,76,71,65,64,81,61,,,,,,,,,,,,,,,,,,,
168,Amy Peterson,Digital Fortress,F,FALSE,5,FALSE,22,Unknown,89,94,67,68,69,92,76,,,,,,,,,,,,,,,,,,,
169,Fernando Sexton,Digital Fortress,M,FALSE,1,FALSE,9,Unknown,97,96,66,96,71,97,66,,,,,,,,,,,,,,,,,,,
170,Evan Christian,Digital Fortress,M,FALSE,4,TRUE,34,Software Engineer,100,62,67,97,73,84,99,,,,,,,,,,,,,,,,,,,
171,Rebecca Norris,Gsling Academy,F,FALSE,1,FALSE,34,Lawyer,91,98,76,99,65,98,71,,,,,,,,,,,,,,,,,,,
172,Erica Marks,Gsling Academy,F,FALSE,4,FALSE,25,Stock Investor,81,87,65,85,74,64,81,,,,,,,,,,,,,,,,,,,
173,Rhonda Webster,Gsling Academy,F,FALSE,5,TRUE,31,Accountant,82,66,89,76,68,83,79,,,,,,,,,,,,,,,,,,,
174,John Bennett,Digital Fortress,M,FALSE,1,FALSE,33,Lawyer,100,96,75,68,77,97,81,,,,,,,,,,,,,,,,,,,
175,Amanda Murphy,Digital Fortress,F,FALSE,10,TRUE,3,Business Owner,65,100,80,83,57,81,81,,,,,,,,,,,,,,,,,,,
176,Jeremy Barnes,Digital Fortress,M,FALSE,2,FALSE,20,Unknown,68,100,89,75,84,78,90,,,,,,,,,,,,,,,,,,,
177,John Brown,Gsling Academy,M,FALSE,3,FALSE,15,Accountant,97,92,95,75,95,90,83,,,,,,,,,,,,,,,,,,,
178,Traci Boyd,Gsling Academy,F,FALSE,3,FALSE,26,Banker,76,94,77,88,85,91,61,,,,,,,,,,,,,,,,,,,
179,Elizabeth Butler,Gsling Academy,F,FALSE,5,FALSE,35,Software Engineer,91,99,94,94,95,98,89,,,,,,,,,,,,,,,,,,,
180,Alex Clark,Digital Fortress,M,FALSE,4,FALSE,12,Construction Engineer,85,73,89,73,97,66,79,,,,,,,,,,,,,,,,,,,
181,Christopher Wolfe,Digital Fortress,M,FALSE,2,TRUE,5,Unknown,68,69,86,87,72,80,93,,,,,,,,,,,,,,,,,,,
182,Jason Bell,Digital Fortress,M,FALSE,1,FALSE,31,Lawyer,73,99,75,70,100,86,62,,,,,,,,,,,,,,,,,,,
183,Victoria Donaldson,Digital Fortress,F,FALSE,3,TRUE,28,Unknown,65,90,75,96,91,93,85,,,,,,,,,,,,,,,,,,,
184,Logan Cox,Gsling Academy,M,FALSE,8,TRUE,5,Business Owner,46,79,75,86,91,88,77,,,,,,,,,,,,,,,,,,,
185,Rachel Hill,Gsling Academy,F,FALSE,1,FALSE,33,Software Engineer,92,84,85,77,81,69,95,,,,,,,,,,,,,,,,,,,
186,Jenny Lloyd,Digital Fortress,F,FALSE,3,FALSE,2,Artist,69,78,69,70,100,88,85,,,,,,,,,,,,,,,,,,,
